GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mgs-project,es.system.danileonpe.springboot.model,Carta,96,30,6,0,29,11,21,2,18,2
mgs-project,es.system.danileonpe.springboot.model,MazoCartaId,70,0,10,0,12,0,12,0,7,0
mgs-project,es.system.danileonpe.springboot.model,Mazo,82,0,6,0,24,0,17,0,14,0
mgs-project,es.system.danileonpe.springboot.model,Usuario,96,0,8,0,28,0,20,0,16,0
mgs-project,es.system.danileonpe.springboot.model,Coleccion,72,0,6,0,19,0,15,0,12,0
mgs-project,es.system.danileonpe.springboot.model,Expansion,65,0,6,0,16,0,13,0,10,0
mgs-project,es.system.danileonpe.springboot.model,Rol,26,0,0,0,11,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.model,MazoCarta,55,0,6,0,13,0,11,0,8,0
mgs-project,es.system.danileonpe.springboot.soap.service,ExpansionServiceSoap,28,0,0,0,6,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.soap.service,CartaServiceSoap,28,0,0,0,6,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.soap.service,RolServiceSoap,28,0,0,0,6,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.soap.service,MazoCartaServiceSoap,67,0,0,0,17,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.soap.service,UserServiceSoap,134,0,0,0,30,0,8,0,8,0
mgs-project,es.system.danileonpe.springboot.soap.service,MazoServiceSoap,28,0,0,0,6,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.soap.service,ColeccionServiceSoap,28,0,0,0,6,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.exception,ErrorDetails,21,0,0,0,8,0,4,0,4,0
mgs-project,es.system.danileonpe.springboot.exception,GlobalExceptionHandler,39,0,0,0,5,0,3,0,3,0
mgs-project,es.system.danileonpe.springboot.exception,ResourceNotFoundException,4,0,0,0,2,0,1,0,1,0
mgs-project,es.system.danileonpe.springboot,Application,71,0,0,0,12,0,4,0,4,0
mgs-project,es.system.danileonpe.springboot,Application.new RowMapper() {...},26,0,0,0,5,0,2,0,2,0
mgs-project,es.system.danileonpe.springboot.service,MazoCartaService,113,0,0,0,24,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,MazoService,81,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,ExpansionService,81,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,UserService,80,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,RolService,81,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,CartaService,81,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.service,ColeccionService,81,0,0,0,15,0,10,0,10,0
mgs-project,es.system.danileonpe.springboot.controller,RolsController,51,0,0,0,13,0,7,0,7,0
mgs-project,es.system.danileonpe.springboot.controller,ExpansionesController,51,0,0,0,13,0,7,0,7,0
mgs-project,es.system.danileonpe.springboot.controller,MazoCartaController,62,0,0,0,14,0,6,0,6,0
mgs-project,es.system.danileonpe.springboot.controller,CartasController,4,47,0,0,2,11,1,6,1,6
mgs-project,es.system.danileonpe.springboot.controller,UsersController,49,0,0,0,13,0,7,0,7,0
mgs-project,es.system.danileonpe.springboot.controller,ColeccionesController,51,0,0,0,13,0,7,0,7,0
mgs-project,es.system.danileonpe.springboot.controller,MazosController,51,0,0,0,13,0,7,0,7,0
